pip,peep,driving_pressure,p_auc,decay_rate,decay_half_time,exp_concavity,tau_exp,rise_time,rise_slope,insp_auc,exp_auc,ie_auc_ratio,p_at_half_insp,p_mean,p_std,p_skewness,p_kurtosis,p_rms,zero_cross_rate,label
33.17,0.54,32.63,124.88,-4.442666666666665,3.0,0.8045887445887443,1.3302120336749412,5.0,6.526000000000001,43.615,81.265,0.5367009167538301,4.42,8.942857142857141,11.501715666165031,1.0833953657263624,-0.41113204281151106,14.569288148116817,0.14285714285714285,Restrictive
32.39,-0.03,32.42,119.77000000000001,-4.061190476190474,2.0,1.0977380952380957,1.215820438059655,6.0,5.403333333333333,69.475,50.295,1.381350034794711,5.06,8.554285714285713,11.102968531166862,1.1573813448137917,-0.08491635679927301,14.016123368667754,0.14285714285714285,Restrictive
32.27,-0.06,32.330000000000005,122.84499999999998,-4.436333333333332,3.0,0.7360822510822513,1.3743102148457573,5.0,6.466000000000001,38.745000000000005,84.10000000000001,0.4607015457788347,2.95,8.770714285714286,11.445150229486297,1.0677958301273778,-0.43109120663978695,14.419323592219673,0.14285714285714285,Restrictive
36.23,-0.03,36.26,129.215,-4.419166666666664,2.0,1.246964285714286,1.310396780337117,6.0,6.043333333333333,75.16499999999999,54.04999999999999,1.3906567992599446,5.24,9.232142857142856,12.273602439248824,1.2726093187752157,0.22157927571571667,15.358182788710016,0.14285714285714285,Restrictive
38.55,0.01,38.54,136.96,-4.716547619047615,2.0,1.3854166666666665,1.2599942023261361,6.0,6.423333333333333,80.83999999999999,56.120000000000005,1.4404846756949392,3.65,9.787857142857144,13.288507482875907,1.2097487033438303,-0.047106354021882346,16.504138225652028,0.14285714285714285,Restrictive
31.82,0.03,31.79,130.06,-3.933095238095236,2.0,0.8194047619047621,1.7075773288817664,6.0,5.298333333333333,68.735,61.324999999999996,1.12083163473298,5.49,9.304999999999998,10.589261238227554,1.0814912601173285,-0.11155669102532206,14.096647777802657,0.14285714285714285,Restrictive
38.67,-0.02,38.690000000000005,138.605,-4.812619047619044,2.0,1.3033333333333335,1.3538310999224785,6.0,6.448333333333334,77.66499999999999,60.94,1.2744502789629142,3.58,9.905714285714286,12.93003740702009,1.1756700322883893,-0.06814089656404221,16.288310006171386,0.14285714285714285,Restrictive
31.48,-0.06,31.54,121.68000000000002,-4.202833333333333,3.0,0.7208982683982683,1.4818696745670044,5.0,6.308,41.21,80.47,0.5121163166397416,6.18,8.689285714285715,10.83753099470652,1.101151791728559,-0.21658592693360834,13.890851820018609,0.14285714285714285,Restrictive
35.18,-0.08,35.26,133.375,-4.373809523809522,2.0,1.1258333333333341,1.4874897593984495,6.0,5.876666666666666,74.78999999999999,58.585,1.2766066399248952,3.78,9.523571428571428,11.987894851022997,1.1061496459178208,-0.2503138249987309,15.310389796288197,0.14285714285714285,Restrictive
32.41,-0.05,32.459999999999994,129.17499999999998,-4.321190476190473,2.0,1.0780952380952382,1.3344615604575958,6.0,5.409999999999999,72.23499999999999,56.94,1.2686160871092376,6.06,9.225714285714286,11.486331451080524,1.0250713002983443,-0.45376742907976375,14.732603784997213,0.14285714285714285,Restrictive
23.66,0.03,23.63,99.505,-2.5080952380952355,2.0,0.8714285714285711,3.6774646921378538,6.0,3.938333333333333,48.385,51.120000000000005,0.9464984350547729,1.92,7.277142857142856,7.662789895305223,0.9996825556584892,-0.38609732123875506,10.567646717356572,0.14285714285714285,Restrictive
